device_name,description
blinds.terug_venster,Jaloezieën aan de achterkant
blinds.kelder,Kelder jaloezieën
blinds.badkamer_1,Eerste badkamergordijnen
blinds.badkamer,Badkamer jaloezieën
blinds.Knutselkamer,Gordijnen voor hobbykamers
blinds.eetkamer,Eetkamergordijnen
blinds.voorraam,Jaloezieën vooraan
blinds.garage,Garagegordijnen
blinds.gastenbadkamer,Gordijnen voor de gastenbadkamer
blinds.gast_kamer,Jaloezieën voor gastenkamers
blinds.gang_1,Eerste ganggordijnen
blinds.gang_2,Tweede gangzonwering
blinds.gang,Ganggordijnen
blinds.ikea_smart,Slimme rolgordijnen van Ikea
blinds.kinderkamer,Rolgordijnen voor kinderkamers
blinds.keuken_raam,Keuken jaloezieën
blinds.keuken,Keuken jaloezieën
blinds.woonkamer_groot,Belangrijkste jaloezieën in de woonkamer
blinds.woonkamer,Jaloezieën voor de woonkamer
blinds.hoofdslaapkamer,Jaloezieën voor de hoofdslaapkamer
blinds.kinderopvang,Kinderjaloezieën
blinds.kantoor,Kantoorzonwering
blinds.kantoor_venster,Kantoorzonwering
blinds.patio,Patio zonwering
blinds.dakraam,Dakraamgordijnen
blinds.dakraam,Dakraam zonwering
blinds.somfy_keuken,Keuken jaloezieën
blinds.somfy_living,Jaloezieën voor de woonkamer
blinds.serre,Zonwering
blinds.theater_kamer,Gordijnen voor thuisbioscoop
fan.zolder_1,Zolderventilatoren
fan.zolder_2,Zolderventilatoren
fan.zolder_3,Zolderventilatoren
fan.zolder_ventilatie,Ventilatieventilator voor zolder
fan.zolder,Zolder ventilator
fan.achtertuin,Achterverandaventilator
fan.balkon,Balkonventilator
fan.kelder,Kelder ventilator
fan.badkamer_omlaag,Ventilator in badkamer beneden
fan.badkamer,Badkamer ventilator
fan.slaapkamer_master,Hoofdslaapkamerventilator
fan.slaapkamer_rechts,Slaapkamerventilator rechts
fan.slaapkamer,Slaapkamer ventilator
fan.plafond_1,Plafondventilator
fan.plafond_2,Plafondventilator
fan.eethoek,Eethoekventilator
fan.eetkamer,Eetkamerventilator
fan.dyson_puur,Dyson Pure-ventilator
fan.voor_veranda,Voorveranda ventilator
fan.garage_werkplaats,Garagewerkplaats ventilator
fan.garage,Garageventilator
fan.logeerkamer,Kamerventilator
fan.gast_kamer,Gastenkamerventilator
fan.gang,Gang ventilator
fan.honeywell_turbo,Honeywell-turboventilator
fan.indoor_gym,Indoor sportschoolventilator
fan.kinderkamer,Kinderkamer ventilator
fan.keuken_1,Keukenventilatoren
fan.keuken_2,Keukenventilatoren
