duration,dutch_name
00:30:00,Een half uur
01:00:00,Een uur
00:15:00,Vijftien minuten
02:00:00,Twee uur
00:05:00,Vijf minuten
00:45:00,Vijfenveertig minuten
03:30:00,Drie en een half uur
00:10:00,Tien minuten
01:30:00,Anderhalf uur
04:00:00,Vier uur
00:20:00,Twintig minuten
05:00:00,Vijf uur
00:02:00,Twee minuten
06:30:00,Zes en een half uur
00:50:00,Vijftig minuten
07:45:00,Zeven uur en vijfenveertig minuten
00:01:00,Een minuut
08:00:00,Acht uur
00:40:00,Veertig minuten
09:15:00,Negen uur en vijftien minuten
00:00:30,Dertig seconden
00:00:45,Vijfenveertig seconden
00:01:30,Eén minuut en dertig seconden
00:02:30,Twee minuten en dertig seconden
00:03:15,Drie minuten en vijftien seconden
00:00:10,Tien seconden
00:00:20,Twintig seconden
00:04:00,Vier minuten
00:05:30,Vijf minuten en dertig seconden
00:06:45,Zes minuten en vijfenveertig seconden
00:07:20,Zeven minuten en twintig seconden
00:08:05,Acht minuten en vijf seconden
00:10:00,Tien minuten
00:12:30,Twaalf minuten en dertig seconden
00:15:45,Vijftien minuten en vijfenveertig seconden
00:20:00,Twintig minuten
00:25:00,Vijfentwintig minuten
00:30:30,Dertig minuten en dertig seconden
00:45:45,Vijfenveertig minuten en vijfenveertig seconden
00:50:50,Vijftig minuten en vijftig seconden
00:00:05,Vijf seconden
00:00:15,Vijftien seconden
00:00:25,Vijfentwintig seconden
00:00:35,Vijfendertig seconden
00:00:40,Veertig seconden
00:00:45,Vijfenveertig seconden
00:00:50,Vijftig seconden
00:00:55,Vijfenvijftig seconden
00:00:08,Acht seconden
00:00:12,Twaalf seconden
