service,response,language,persona,short
blinds.open,De gordijnen voor u openen.,nl,assistant,0
blinds.open,Ik zal doorgaan en de jaloezieën openen.,nl,assistant,0
blinds.open,"Zeker, ik doe nu de gordijnen open.",nl,assistant,0
blinds.close,Het sluiten van de zonwering zoals u vroeg.,nl,assistant,0
blinds.close,Ik zal de gordijnen voor je sluiten.,nl,assistant,0
blinds.close,"Zeker, de gordijnen dichtdoen.",nl,assistant,0
blinds.stop,Nu de jaloezieën stopzetten.,nl,assistant,0
blinds.stop,Ik zal de jaloezieën voor je dichtdoen.,nl,assistant,0
blinds.stop,"Zeker, het stoppen van de beweging van de jaloezieën.",nl,assistant,0
blinds.toggle,De status van de jaloezieën voor u omschakelen.,nl,assistant,0
blinds.toggle,De status van de jaloezieën wordt nu gewijzigd.,nl,assistant,0
blinds.toggle,Ik zal de gordijnen voor je opendoen.,nl,assistant,0
blinds.open,Het optillen van <device_name> jaloezieën zoals gevraagd,nl,assistant,0
blinds.open,Open <device_name> nu,nl,assistant,0
blinds.open,<device_name> voor u verhogen,nl,assistant,0
blinds.stop,Positie van <device_name> bevriezen,nl,assistant,0
blinds.stop,<device_name> wordt nu stopgezet,nl,assistant,0
blinds.stop,Bewerking van <device_name> stoppen,nl,assistant,0
blinds.open,<device_name> verhogen,nl,assistant,0
blinds.close,Sluit <device_name> voor u,nl,assistant,0
blinds.close,Verlaag <device_name> nu,nl,assistant,0
blinds.close,Sluit <device_name> af zoals gevraagd,nl,assistant,0
blinds.close,<device_name> verlagen,nl,assistant,0
blinds.toggle,De status van <device_name> wordt nu omgedraaid,nl,assistant,0
blinds.toggle,De status van <device_name> wordt gewijzigd zoals gevraagd,nl,assistant,0
blinds.toggle,Ik schakel <device_name> voor u in,nl,assistant,0
blinds.toggle,<device_name> omschakelen,nl,assistant,0
climate.set_humidity,Vochtigheid verhogen naar <humidity>.,nl,assistant,0
climate.set_humidity,Vochtigheid instellen op <humidity> procent.,nl,assistant,0
climate.set_humidity,Vochtigheid aanpassen naar <humidity>%.,nl,assistant,0
climate.set_fan_mode,De ventilator instellen op <fan_mode> snelheid.,nl,assistant,0
climate.set_fan_mode,De ventilator op <fan_mode> zetten.,nl,assistant,0
climate.set_fan_mode,De ventilator wijzigen in <fan_mode> instelling.,nl,assistant,0
climate.set_hvac_mode,Overschakelen naar <hvac_mode>-modus.,nl,assistant,0
climate.set_hvac_mode,De HVAC instellen op <hvac_mode>.,nl,assistant,0
climate.set_hvac_mode,HVAC wijzigen in <hvac_mode>-modus.,nl,assistant,0
climate.set_temperature,Temperatuur instellen op <temp_f> graden.,nl,assistant,0
climate.set_temperature,Temperatuur wijzigen naar <temp_c> Celsius.,nl,assistant,0
climate.set_temperature,De kamer instellen op <temp_f> graden Fahrenheit.,nl,assistant,0
climate.set_temperature,Temperatuur aanpassen naar <temp_f> graden Fahrenheit.,nl,assistant,0
climate.set_temperature,Stel de kamer in op <temp_c> graden Celsius voor een koelere temperatuur.,nl,assistant,0
climate.set_temperature,"Het warmer maken, de temperatuur instellen op <temp_f> graden.",nl,assistant,0
climate.set_temperature,Verlaag de temperatuur naar <temp_c> Celsius.,nl,assistant,0
climate.set_temperature,De temperatuur verhogen naar <temp_f> graden Fahrenheit.,nl,assistant,0
fan.turn_on,Ik zet de ventilator voor je aan.,nl,assistant,0
fan.turn_on,Ik zal de ventilator voor je aanzetten.,nl,assistant,0
fan.turn_on,"Oké, ik zet de ventilator nu aan.",nl,assistant,0
fan.turn_off,Het uitschakelen van de ventilator zoals gevraagd.,nl,assistant,0
fan.turn_off,Ik zet de ventilator voor je uit.,nl,assistant,0
fan.turn_off,"Oké, zet de ventilator uit.",nl,assistant,0
fan.toggle,Ik zal de status van de ventilator voor je wijzigen.,nl,assistant,0
fan.toggle,Ik schakel nu de ventilator in.,nl,assistant,0
fan.toggle,De status van de ventilator voor u wijzigen.,nl,assistant,0
fan.increase_speed,Het verhogen van de ventilatorsnelheid voor u.,nl,assistant,0
fan.increase_speed,"Zeker, ik zet de ventilator nu sneller.",nl,assistant,0
fan.increase_speed,Ik ga door en maak de ventilator sneller.,nl,assistant,0
fan.decrease_speed,Het verlagen van de ventilatorsnelheid zoals u had gevraagd.,nl,assistant,0
fan.decrease_speed,Ik zal de ventilator voor je vertragen.,nl,assistant,0
fan.decrease_speed,"Zeker, de ventilatorsnelheid verlagen.",nl,assistant,0
fan.toggle,De status van <device_name> wordt voor u omgedraaid,nl,assistant,0
fan.toggle,De status van <device_name> wordt gewijzigd zoals gevraagd,nl,assistant,0
fan.toggle,Schakel nu <device_name> in,nl,assistant,0
fan.turn_on,Activeer nu <device_name>,nl,assistant,0
fan.turn_on,<device_name> voor u starten,nl,assistant,0
fan.turn_on,"Zeker, vanaf <device_name>",nl,assistant,0
fan.turn_on,<device_name> inschakelen,nl,assistant,0
fan.turn_on,<device_name> starten,nl,assistant,0
fan.turn_off,Deactiveer <device_name> zoals gevraagd,nl,assistant,0
fan.turn_off,Ik stop <device_name> voor jou,nl,assistant,0
fan.turn_off,"Zeker, het stoppen van <device_name>",nl,assistant,0
fan.turn_off,<device_name> uitschakelen,nl,assistant,0
fan.decrease_speed,Snelheid van <device_name> verlagen,nl,assistant,0
fan.decrease_speed,Verlaag de snelheid van <device_name> zoals gevraagd,nl,assistant,0
fan.decrease_speed,Ik vertraag <device_name> voor je,nl,assistant,0
fan.increase_speed,Toenemende snelheid van <device_name>,nl,assistant,0
fan.increase_speed,Voer nu de snelheid van <device_name> op,nl,assistant,0
fan.increase_speed,Wij versnellen <device_name> voor u,nl,assistant,0
fan.increase_speed,Toenemende snelheid van <device_name>,nl,assistant,0
fan.decrease_speed,Snelheid van <device_name> verlagen,nl,assistant,0
garage_door.open,De garagedeur voor u openen.,nl,assistant,0
garage_door.open,"Natuurlijk, ik zal de garagedeur openen.",nl,assistant,0
garage_door.open,Ik ga door en open de garagedeur.,nl,assistant,0
garage_door.close,Het sluiten van de garagedeur zoals gevraagd.,nl,assistant,0
garage_door.close,Ik zal de garagedeur voor je sluiten.,nl,assistant,0
garage_door.close,"Zeker, de garagedeur sluiten.",nl,assistant,0
garage_door.stop,Ik stop nu de garagedeur.,nl,assistant,0
garage_door.stop,Ik zal de garagedeur voor je dichthouden.,nl,assistant,0
garage_door.stop,"Natuurlijk, ik zal de beweging van de garagedeur stoppen.",nl,assistant,0
