device_type,service,dutch_phrase,multiplier
blinds,close,Sluit de <device_name>,1
blinds,close,Verlaag de <device_name>,1
blinds,close,Sluit de <device_name>,1
blinds,open,Til de jaloezieën van <device_name> omhoog,1
blinds,open,Open de <device_name>,1
blinds,open,Verhoog de <device_name>,1
blinds,stop,Bevries de <device_name>,1
blinds,stop,Stop de <device_name>,1
blinds,stop,Stop de <device_name>,1
blinds,toggle,Draai de status <device_name> om,1
blinds,toggle,Wijzig de status <device_name>,1
blinds,toggle,Schakel <device_name> in of uit,1
blinds|fan,close|turn_off,Sluit <device_name1> en deactiveer <device_name2>,1
blinds|fan,open|increase_speed,Verhoog de <device_name1> en versnel de <device_name2>,1
blinds|light,open|turn_on,Verhoog <device_name1> en activeer <device_name2>,1
fan,decrease_speed,Verlaag de snelheid van <device_name>,1
fan,decrease_speed,Verlaag de snelheid van <device_name>,1
fan,decrease_speed,Vertraag de <device_name>,1
fan,increase_speed,Verhoog de snelheid van <device_name>,1
fan,increase_speed,Verhoog de snelheid van <device_name>,1
fan,increase_speed,Versnel de <device_name>,1
fan,toggle,Schakel de <device_name> in of uit,1
fan,toggle,Wijzig de status <device_name>,1
fan,toggle,Schakel <device_name> in of uit,1
fan,turn_off,Deactiveer de <device_name>,1
fan,turn_off,Stop de <device_name> alstublieft,1
fan,turn_off,Schakel <device_name> uit,1
fan,turn_on,Activeer de <device_name>,1
fan,turn_on,Start de <device_name>,1
fan,turn_on,Schakel de <device_name> in,1
fan|blinds,turn_off|open,Schakel <device_name1> uit en open <device_name2>,1
fan|blinds|garage_door,increase_speed|open|open,Versnel <device_name1> open <device_name2> en <device_name3>,1
fan|blinds|light,decrease_speed|open|turn_off,Vertraag <device_name1> open <device_name2> en schakel <device_name3> uit,1
fan|blinds|light,turn_off|close|turn_on,"Schakel <device_name1> uit, sluit <device_name2> en schakel <device_name3> in",1
fan|fan,increase_speed|decrease_speed,Versnel <device_name1> en vertraag <device_name2>,1
fan|fan,turn_on|turn_off,Schakel <device_name1> in en schakel <device_name2> uit,1
fan|garage_door,increase_speed|close,Verhoog de snelheid van <device_name1> en sluit <device_name2>,1
fan|garage_door|blinds,increase_speed|close|open,Versnel <device_name1> sluit <device_name2> en open <device_name3>,1
fan|garage_door|blinds,turn_on|close|close,"Schakel <device_name1> in, sluit <device_name2> en <device_name3>",1
fan|garage_door|light,turn_off|close|turn_off,Schakel <device_name1> en <device_name3> uit en sluit <device_name2>,1
fan|garage_door|lock,turn_off|close|lock,"Schakel <device_name1> uit, sluit <device_name2> en vergrendel <device_name3>",1
fan|garage_door|lock,turn_on|open|unlock,"Schakel <device_name1> in, open <device_name2> en ontgrendel <device_name3>",1
fan|light,turn_on|turn_off,Activeer <device_name1> en deactiveer <device_name2>,1
